Frequency (Hz),Trace 1: Impedance: Magnitude (Ω),Trace 2: Impedance: Phase (°),Trace 3: Impedance: Ls (H),Trace 4: Impedance: Rs (Ω),Trace 5: Impedance: Q
100,0.633506927678345,0.108095420552971,1.90219880964374E-06,0.633505800245793,0.00188662323335491
101.653822,0.633354636123482,0.122416446254868,2.11865468888646E-06,0.633353190513748,0.00213657329684274
103.334996,0.633460267153701,0.128149218309285,2.18215226438372E-06,0.633458682713471,0.00223662952293122
105.043973,0.633692145983484,0.107273494464922,1.79761572589798E-06,0.633691035306446,0.00187227786623771
106.781213,0.633498769489518,0.124185581017074,2.04653538646808E-06,0.633497281456073,0.00216745066635441
108.547184,0.633472633195752,0.117849221167875,1.91043913559044E-06,0.633471293192423,0.0020568598309164
110.342362,0.633718964946241,0.112588347137857,1.79616029203821E-06,0.63371774143436,0.00196503988618446
112.167228,0.633625829784578,0.131216918373929,2.05898811361251E-06,0.633624168143994,0.00229017126382764
114.022275,0.633562749076085,0.120770466535156,1.86405127432304E-06,0.633561341617251,0.00210784540192742
115.908,0.633602675863497,0.123602705159411,1.87684638748069E-06,0.633601201523914,0.00215727751594015
117.824912,0.63341649852836,0.11498807304283,1.71712634331452E-06,0.633415222913536,0.00200692316956993
119.773527,0.633649235300022,0.124027744224939,1.82265336448658E-06,0.633647750694146,0.00216469588172584
121.754368,0.633390292192993,0.121948965078024,1.76222818243108E-06,0.633388857522334,0.00212841417401199
123.767968,0.633676329105134,0.112781573135836,1.60396390337916E-06,0.633675101472627,0.00196841232909426
125.814871,0.633591311548408,0.13975220439811,1.95493792616362E-06,0.633589426810041,0.0024391409407985
127.895625,0.633634451797673,0.161156387107865,2.21782637112427E-06,0.633631945352086,0.00281271698310356
130.010791,0.633774952875194,0.138247307139553,1.87201545340197E-06,0.633773107974638,0.00241287537414543
132.160938,0.633713388976004,0.144895327527961,1.92992835881002E-06,0.63371136257145,0.00252890592719012
134.346645,0.633657132636521,0.103528038548169,1.35638429057321E-06,0.633656098221256,0.00180690710725831
136.568499,0.633322335946398,0.138800536340687,1.78797930401119E-06,0.633320477578817,0.00242253110166366
138.8271,0.633746210274742,0.123373482217096,1.56444431764793E-06,0.633744741065699,0.00215327680229152
141.123053,0.633491154500841,0.139771127064077,1.74283842967102E-06,0.633489269550064,0.00243947120558801
143.456977,0.633615618653765,0.113506039888223,1.39258074570621E-06,0.633614375318032,0.00198105670855233
145.8295,0.633786523298696,0.138954197853486,1.67751479230108E-06,0.633784659449075,0.00242521301675217
